Reporting entity,Facility name,Type,State,Electricity production (GJ),Electricity production (MWh),"Total scope 1 emissions 
(t CO2-e)","Total scope 2 emissions 
(t CO2-e)","Total emissions 
(t CO2-e)","Emission intensity 
(t CO2-e/ MWh)",Grid connected,Grid,Primary fuel,Important notes
ACCIONA ENERGY OCEANIA PTY LTD,Cathedral Rocks Wind Farm,F,SA,"512,455","142,348",47,189,236,0.00,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,"575,522","159,867",48,246,294,0.00,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Mt Gellibrand Wind Farm,F,VIC,"1,018,498","282,916",60,907,967,0.00,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,"2,339,624","649,896",158,869,"1,027",0.00,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,-,"4,446,099","1,235,027",313,"2,211","2,524",-,-,-,-,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Adani Rugby Run Solar Farm,F,QLD,"587,856","163,293",0,533,533,0.00,On,NEM,Solar,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Corporate Total,C,-,"587,856","163,293",0,533,533,-,-,-,-,-
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,"7,240","2,011",15,33,48,0.01,On,NEM,Hydro,-
AGL ENERGY LIMITED,Barker Inlet Power Station,F,SA,"1,391,597","386,555","174,233","2,829","177,062",0.45,On,NEM,Gas,-
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,"51,517,714","14,310,476","12,763,444","19,122","12,782,566",0.89,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,"314,481","87,356",83,656,739,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,"408,929","113,591",81,343,424,0.00,On,NEM,Solar,-
AGL ENERGY LIMITED,Clover Hydro,F,VIC,"1,481",411,2,367,369,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,"33,585","9,329",1,50,51,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,"153,275","42,576",0,340,340,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,"401,140","111,428",10,187,197,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,123,34,0,0,0,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,"1,062,039","295,011",125,168,293,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,"812,671","225,742",84,133,217,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,"1,506,996","418,610",191,309,500,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,"465,379","129,272",65,139,204,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,0,0,0,6,6,0.00,On,NEM,Gas,-
AGL ENERGY LIMITED,Kwinana Swift Power Station,F,WA,"124,238","34,511","20,567",410,"20,977",0.60,On,SWIS,Gas,-
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,"26,305,616","7,307,116","7,021,228","44,618","7,065,846",0.96,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,"59,031,839","16,397,733","19,153,341","220,357","19,373,698",1.17,On,NEM,Brown Coal,-
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,"2,641,871","733,853","7,637","2,411","10,048",0.01,On,NEM,Wind,-
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,"386,791","107,442",2,"4,325","4,327",0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,"840,121","233,367",154,691,845,0.00,On,NEM,Solar,-
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,"630,310","175,086",63,469,532,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,0,0,0,207,207,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Silverton Wind Farm,F,NSW,"2,826,436","785,121",81,335,416,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,"360,423","100,117","70,675","1,580","72,255",0.71,On,NEM,Gas,-
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,"6,008,329","1,668,980","957,873","11,484","969,357",0.57,On,NEM,Gas,-
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,"950,951","264,153",78,150,228,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,"609,716","169,366",1,667,668,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,"156,774","43,548",0,19,19,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,"43,303","12,029",1,0,1,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Pindari Hydro,F,NSW,0,0,0,24,24,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Corporate Total,C,-,"158,993,368","44,164,825","40,170,035","312,429","40,482,464",-,-,-,-,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,"5,739,815","1,594,393","1,086,799",644,"1,087,443",0.68,On,SWIS,Gas,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,-,"5,739,815","1,594,393","1,086,799",644,"1,087,443",-,-,-,-,-
APT PIPELINES LIMITED,Badgingarra Solar Farm,F,WA,"108,451","30,125",30,49,79,0.00,On,SWIS,Solar,-
APT PIPELINES LIMITED,Badgingarra Wind Farm,F,WA,"1,701,835","472,732",96,275,371,0.00,On,SWIS,Wind,-
APT PIPELINES LIMITED,Daandine Power Station,F,QLD,"406,375","112,882","61,562",660,"62,222",0.55,On,NEM,Coal Seam Methane,"Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times. APT PIPELINES LIMITED and CLARKE ENERGY (AUSTRALIA) PTY. LTD., have each included the same data for the Daandine Power Station in their NGER reports."
APT PIPELINES LIMITED,Darling Downs Solar Farm,F,QLD,"755,182","209,773",66,658,724,0.00,On,NEM,Wind,-
APT PIPELINES LIMITED,Diamantina Power Station,F,QLD,"6,884,574","1,912,382","809,252",176,"809,428",0.42,On,Mt Isa,Gas,-
APT PIPELINES LIMITED,Emu Downs Solar Farm,F,WA,"173,545","48,207",6,160,166,0.00,On,SWIS,Solar,-
APT PIPELINES LIMITED,Emu Downs Wind Farm,F,WA,"883,949","245,541",71,160,231,0.00,On,SWIS,Wind,-
APT PIPELINES LIMITED,Corporate Total,C,-,"10,913,911","3,031,642","871,083","2,138","873,221",-,-,-,-,-
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,"1,475,610","409,892","246,789","4,578","251,367",0.60,On,NEM,Coal Seam Methane,-
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,-,"1,475,610","409,892","246,789","4,578","251,367",-,-,-,-,-
ATCO AUSTRALIA PTY LTD,Karratha Power Station,F,WA,"513,078","142,522","99,275",62,"99,337",0.70,On,NWIS,Gas,-
ATCO AUSTRALIA PTY LTD,Osborne facility,F,SA,"1,413,851","392,736","161,402","3,725","165,127",0.41,On,NEM,Gas,-
ATCO AUSTRALIA PTY LTD,Corporate Total,C,-,"1,926,929","535,258","260,677","3,787","264,464",-,-,-,-,-
AWF AUS HOLD OP CO PTY LTD,Facility,F,VIC,"2,049,563","569,323",100,"1,637","1,737",0.00,On,NEM,Wind,-
AWF AUS HOLD OP CO PTY LTD,Corporate Total,C,-,"2,049,563","569,323",100,"1,637","1,737",-,-,-,-,-
BALD HILLS WF HOLDINGS PTY LTD,Bald Hills Wind Farm Pty Ltd,F,VIC,"1,228,860","341,350",97,673,770,0.00,On,NEM,Wind,-
BALD HILLS WF HOLDINGS PTY LTD,Corporate Total,C,-,"1,228,860","341,350",97,673,770,-,-,-,-,-
BEI WWF PTY LTD,Warradarge Wind Farm,F,WA,"1,797,588","499,330",994,547,"1,541",0.00,On,SWIS,Wind,-
BEI WWF PTY LTD,Corporate Total,C,-,"1,797,588","499,330",994,547,"1,541",-,-,-,-,-
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,Gullen Solar Pty Ltd,F,NSW,"67,807","18,835",1,43,44,0.00,On,NEM,Solar,-
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,New Gullen Range Wind Farm Pty Ltd,F,NSW,"1,818,406","505,113",55,442,497,0.00,On,NEM,Wind,-
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,Newtricity Developments Biala Pty Ltd,F,NSW,"311,838","86,622",23,531,554,0.00,On,NEM,Wind,-
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,Corporate Total,C,-,"2,198,051","610,570",79,"1,016","1,095",-,-,-,-,-
BHP GROUP LIMITED,Yarnima Power Station,F,WA,"2,691,050","747,514","343,639",0,"343,639",0.46,Off,Off-grid,Gas,-
BHP GROUP LIMITED,Corporate Total,C,-,"2,691,050","747,514","343,639",0,"343,639",-,-,-,-,-
BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,F,WA,"5,808,996","1,613,610","1,216,374","3,063","1,219,437",0.75,On,SWIS,Black Coal,-
BLUEWATERS POWER 1 PTY LTD,Corporate Total,C,-,"5,808,996","1,613,610","1,216,374","3,063","1,219,437",-,-,-,-,-
BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,F,WA,"6,083,427","1,689,841","1,254,100","2,211","1,256,311",0.74,On,SWIS,Black Coal,-
BLUEWATERS POWER 2 PTY LTD,Corporate Total,C,-,"6,083,427","1,689,841","1,254,100","2,211","1,256,311",-,-,-,-,-
C S ENERGY LIMITED,Callide B Power Station,F,QLD,"11,317,007","3,143,613","2,983,083","34,749","3,017,832",0.95,On,NEM,Black Coal,-
C S ENERGY LIMITED,Callide C Power Station,F,QLD,"18,205,965","5,057,213","4,549,575","29,039","4,578,614",0.90,On,NEM,Black Coal,"Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times. C S ENERGY LIMITED and OZGEN HOLDINGS AUSTRALIA PTY LTD, have each included the same data for the Callide C Power Station in their NGER reports."
C S ENERGY LIMITED,Kogan Creek Power Station,F,QLD,"18,428,566","5,119,046","4,366,178","4,821","4,370,999",0.85,On,NEM,Black Coal,-
C S ENERGY LIMITED,Corporate Total,C,-,"47,951,538","13,319,872","11,898,836","68,609","11,967,445",-,-,-,-,-
CAPE BYRON MANAGEMENT PTY LTD,Broadwater Power Plant,F,NSW,"698,416","194,005","9,556","1,449","11,005",0.05,On,NEM,Bagasse,-
CAPE BYRON MANAGEMENT PTY LTD,Condong Power Plant,F,NSW,"593,907","164,974","5,801","1,293","7,094",0.04,On,NEM,Bagasse,-
CAPE BYRON MANAGEMENT PTY LTD,Corporate Total,C,-,"1,292,323","358,979","15,357","2,742","18,099",-,-,-,-,-
CBWF HOLDINGS PTY LIMITED,Facility,F,VIC,"292,965","81,379",15,73,88,0.00,On,NEM,Wind,-
